id,L,W,H,DF,optimal_weight
633,68.2,68.4,50.8,0.74,149057.8
634,20.4,28.9,17.4,0.79,20.5
635,82.5,48.2,79.7,0.85,228979.8
636,35.9,16.8,25.2,0.81,30.4
637,11.3,5.3,3.6,0.75,0.4
638,27.2,14.2,21.6,0.73,16.6
639,31.3,30.0,37.3,0.75,70.1
640,38.0,30.0,25.4,0.94,57.9
641,18.1,10.3,9.7,0.81,3.6
642,8.4,5.1,4.1,0.99,0.4
643,17.1,16.7,14.7,0.85,8.4
644,38.9,15.8,33.7,0.88,41.3
645,31.3,19.8,7.7,0.7,9.5
646,18.7,10.2,5.4,0.8,2.1
647,23.8,17.7,11.7,0.79,9.9
648,31.5,17.6,20.7,0.84,22.8
649,24.7,14.8,15.8,0.76,11.6
650,13.7,11.3,7.5,0.7,2.3
651,43.1,30.0,18.5,0.8,47.7
652,42.7,29.5,18.5,0.98,46.5
653,9.4,4.6,4.8,0.91,0.4
654,6.2,3.7,5.7,0.98,0.3
655,37.1,30.0,38.1,0.87,84.7
656,44.0,30.0,25.0,0.85,66.1
657,28.4,14.4,29.4,0.95,24.1
658,28.5,13.0,15.6,0.88,11.6
659,21.1,15.2,11.8,0.76,7.6
660,28.1,22.6,17.4,0.79,22.1
661,10.6,4.6,7.6,0.75,0.7
662,41.1,23.0,33.8,0.82,63.9
663,13.2,8.6,7.9,0.87,1.8
664,12.2,7.5,7.2,0.75,1.3
665,38.5,22.7,28.3,0.97,49.4
666,12.3,9.5,7.3,0.9,1.7
667,41.5,18.2,15.5,0.81,23.4
668,17.0,5.0,13.6,0.9,2.3
669,36.5,11.2,18.4,0.91,15.0
670,28.8,16.4,7.9,0.85,7.5
671,8.2,3.6,3.7,0.77,0.2
672,13.7,16.7,7.8,0.93,3.6
673,10.9,4.1,8.6,0.99,0.8
674,23.4,18.3,18.4,0.74,15.8
675,10.0,8.8,9.1,0.9,1.6
676,33.8,20.4,20.3,0.88,28.0
677,6.3,3.2,2.0,0.93,0.1
678,33.8,30.0,19.2,0.99,38.9
679,41.8,30.0,25.6,0.74,64.2
680,10.1,4.5,10.4,0.99,0.9
681,24.7,28.1,25.5,0.85,35.4
682,16.8,13.5,7.4,0.5,713.3
683,22.0,28.4,22.2,0.98,27.7
684,14.3,9.4,10.6,0.98,2.9
685,20.5,15.1,16.1,0.9,9.9
686,17.6,6.9,9.3,0.89,2.2
687,22.7,19.7,12.9,0.71,11.5
688,18.3,6.1,14.2,0.81,3.1
689,27.6,15.2,10.7,0.88,8.9
690,19.9,17.2,14.9,0.75,10.2
691,29.0,27.0,19.0,0.87,29.8
692,36.0,30.0,29.9,0.93,64.7
693,22.8,30.0,26.9,0.79,36.8
694,5.2,4.2,4.7,0.92,0.2
695,40.6,17.7,11.6,0.71,16.6
696,25.1,10.1,7.5,0.87,3.8
697,25.0,19.6,21.5,0.89,21.1
698,29.4,16.7,21.0,0.88,20.6
699,10.0,6.7,9.4,0.83,1.3
700,27.9,15.4,11.0,0.92,9.4
701,19.3,18.4,14.8,0.75,10.5
702,50.0,25.9,29.4,0.97,76.2
703,28.2,17.1,11.2,0.77,10.8
704,20.3,7.6,11.3,0.78,3.5
705,32.5,27.4,26.0,0.72,46.4
706,5.0,5.9,2.5,0.9,0.1
707,35.9,12.7,14.4,0.5,2790.3
708,34.5,23.7,17.3,0.94,28.4
709,21.6,22.8,16.2,0.79,15.9
710,7.3,5.1,7.0,1.0,0.5
711,17.3,15.0,8.3,0.72,4.3
712,2.5,1.6,1.3,0.76,3.4
713,19.1,9.1,20.1,0.99,6.9
714,7.6,7.1,7.2,1.0,0.8
715,10.9,5.0,3.3,0.97,0.4
716,20.9,15.7,11.0,0.92,7.2
717,30.5,20.6,32.8,0.72,41.3
718,36.2,26.3,16.0,0.95,30.5
719,20.8,25.3,16.4,0.86,17.3
720,47.9,23.5,37.1,0.73,83.4
721,36.9,13.1,28.5,0.91,27.5
722,5.6,4.1,4.3,0.88,0.2
723,32.1,15.2,20.3,0.75,19.8
724,10.0,6.7,8.6,0.73,1.2
725,14.3,12.3,9.3,0.9,3.3
726,31.5,19.4,28.3,0.82,34.7
727,32.6,14.4,34.7,0.97,32.6
728,13.7,10.2,5.1,0.72,1.4
729,23.0,20.2,19.2,0.5,3791.1
730,41.8,30.0,21.6,0.95,54.2
731,13.8,15.1,9.1,0.85,3.8
732,10.1,5.0,5.0,0.81,0.5
733,23.2,20.2,13.8,0.83,13.0
734,16.2,5.3,12.1,0.84,2.1
735,13.2,8.9,8.7,0.76,2.1
736,26.8,8.5,14.6,0.72,6.7
737,29.3,19.2,28.9,0.92,32.5
738,33.1,18.8,12.2,0.84,15.2
739,18.0,17.7,23.6,0.82,15.0
740,20.6,20.1,8.9,0.95,7.4
741,44.1,18.1,29.8,0.98,47.6
742,6.2,7.2,6.3,0.82,0.6
743,88.5,74.9,55.1,0.83,257675.8
744,24.7,17.1,18.4,0.72,15.6
745,44.3,30.0,13.8,0.83,36.8
746,13.1,9.0,5.4,0.84,1.3
747,9.6,6.9,5.1,0.86,0.7
748,19.1,7.9,9.5,0.99,2.8
749,11.0,9.1,8.0,0.5,340.3
750,5.0,4.9,3.3,0.82,0.2
751,34.6,30.0,29.8,0.84,62.0
752,29.4,30.0,10.3,0.77,18.1
753,15.2,10.8,9.2,0.97,3.0
754,35.6,30.0,26.1,0.97,55.6
755,38.7,24.7,10.1,0.72,19.3
756,13.1,5.9,9.3,0.72,1.4
757,14.6,7.2,6.5,0.93,1.4
758,42.3,28.7,25.6,0.76,62.4
759,27.7,30.0,37.0,0.83,61.5
760,8.7,5.7,8.5,1.2,429.9
761,9.0,8.5,8.0,0.74,1.2
762,12.2,7.3,10.5,0.83,1.9
763,21.9,14.2,16.8,0.77,10.4
764,23.1,21.6,9.1,0.85,9.0
765,16.9,18.7,11.1,0.9,7.0
766,7.3,8.0,2.5,0.87,0.3
767,33.5,25.8,16.4,0.92,28.3
768,9.8,8.6,9.5,0.83,1.6
769,32.6,14.2,11.5,0.71,10.7
770,21.1,11.9,17.7,0.85,8.9
771,27.7,30.0,36.8,0.79,61.2
772,26.0,30.0,14.6,0.99,22.8
773,28.2,27.1,19.6,0.9,29.9
774,50.0,30.0,30.1,0.89,90.2
775,32.9,12.8,18.9,0.96,15.9
776,12.7,12.8,7.1,0.81,2.3
777,28.9,14.9,9.8,0.91,8.4
778,7.7,7.6,5.1,0.95,0.6
779,29.7,14.5,12.2,0.98,10.5
780,23.0,18.7,12.7,0.88,11.0
781,32.1,11.0,21.4,0.86,15.1
782,16.8,13.2,6.7,0.71,3.0
783,24.5,15.1,15.0,0.93,11.1
784,39.0,17.7,29.9,0.73,41.2
785,32.7,21.0,18.5,0.5,5399.2
786,7.3,4.0,5.3,0.94,0.3
787,11.8,6.0,7.5,0.71,1.1
788,8.9,6.6,9.5,1.0,1.1
789,28.6,17.6,14.8,0.73,15.0
790,12.6,12.0,4.6,1.2,709.4
791,20.7,24.1,8.3,0.98,8.3
792,13.2,6.6,9.7,0.93,1.7
793,47.5,30.0,12.1,0.95,34.4
794,22.4,24.7,9.2,0.88,10.2
795,39.1,26.6,14.4,0.83,30.0
796,27.2,11.8,7.7,0.99,4.9
797,33.2,22.6,19.2,0.81,28.8
798,17.1,9.9,18.1,0.71,6.1
799,25.0,20.8,17.0,0.72,17.7
800,46.2,30.0,30.3,0.97,83.9
801,47.6,18.1,29.1,0.9,50.3
802,31.6,14.8,23.6,0.84,22.1
803,5.5,3.1,5.0,0.8,0.2
804,27.8,30.0,26.3,0.71,43.9
805,40.5,15.0,37.0,0.91,45.0
806,35.7,29.4,29.2,0.85,61.3
807,71.4,55.0,80.3,0.75,201028.0
808,14.7,16.1,12.0,0.94,5.7
809,29.4,22.3,11.6,0.91,15.2
810,20.7,16.3,16.8,0.91,11.3
811,28.8,30.0,31.7,0.98,54.7
812,85.9,46.9,84.9,0.91,264566.0
813,1.6,2.9,3.0,0.99,11.7
814,31.9,18.4,25.5,0.89,29.9
815,32.4,19.1,24.2,0.93,29.8
816,33.8,25.6,25.8,0.72,44.7
817,3.9,1.8,1.5,0.77,6.9
818,2.5,2.7,2.7,0.96,14.9
819,9.9,5.6,5.2,0.71,0.6
820,33.4,30.0,25.5,0.96,51.0
821,43.8,30.0,11.9,0.91,31.2
822,1.1,1.6,2.1,0.5,1.6
823,15.0,8.1,16.4,0.98,4.0
824,8.2,9.2,6.7,0.74,1.0
825,41.9,27.8,11.7,0.93,27.3
826,22.6,12.4,11.3,0.73,6.3
827,38.2,30.0,15.8,0.96,36.2
828,35.0,25.9,10.5,0.97,19.0
829,33.3,25.9,9.0,0.91,15.5
830,39.3,24.3,28.4,0.81,54.2
831,29.2,22.5,16.0,0.76,21.1
832,22.0,10.8,8.6,0.95,4.1
833,7.7,6.6,6.8,0.91,0.7
834,26.6,11.7,14.9,0.88,9.3
835,39.5,25.8,13.5,0.85,27.4
836,36.1,24.6,9.6,0.5,3623.3
837,24.3,25.4,30.0,0.97,37.1
838,26.3,26.9,15.9,0.75,22.6
839,14.4,10.6,8.3,0.84,2.5
840,37.7,23.0,32.2,0.84,55.8
841,37.6,23.7,34.6,0.86,61.8
842,11.5,12.7,9.0,0.86,2.6
843,8.4,4.8,7.7,0.75,0.6
844,21.6,22.9,10.4,0.79,10.3
845,35.3,18.4,26.4,0.72,34.5
846,50.0,25.2,27.1,0.76,68.3
847,18.6,15.4,7.8,0.87,4.5
848,15.9,14.1,8.9,0.92,4.0
849,15.5,15.7,6.0,0.84,2.9
850,98.0,61.4,65.8,0.92,309618.6
851,25.7,8.4,20.6,0.9,8.9
852,11.1,9.7,11.6,0.92,2.5
853,25.7,13.2,17.6,0.85,11.9
854,24.6,22.8,20.6,0.84,23.2
855,1.5,1.9,1.6,0.8,3.1
856,43.2,21.5,40.0,0.84,74.3
857,11.1,12.6,5.4,0.9,1.5
858,26.9,30.0,22.9,0.99,36.9
859,43.6,16.9,35.1,0.8,51.6
860,14.7,6.4,8.1,0.85,1.5
861,39.2,21.6,26.8,0.86,45.3
862,46.3,15.6,34.9,0.83,50.3
863,20.5,12.9,14.6,0.96,7.7
864,29.2,25.2,8.9,0.89,13.0
865,27.9,13.0,20.2,0.78,14.8
866,39.7,16.4,28.3,0.87,36.9
867,33.0,17.9,20.4,0.74,24.1
868,10.0,3.8,4.6,0.95,0.4
869,26.2,22.7,9.9,0.84,11.7
870,35.9,30.0,40.0,0.97,86.2
871,21.9,8.3,16.6,0.74,6.0
872,8.1,4.2,7.7,0.84,0.5
873,13.7,6.5,9.7,0.92,1.7
874,26.5,19.5,22.1,0.87,22.9
875,17.2,5.9,8.4,0.89,1.7
876,39.4,19.2,13.6,0.93,20.6
877,11.2,7.6,9.7,0.88,1.6
878,15.8,15.6,12.9,0.97,6.4
879,7.6,3.0,4.3,1.2,100.0
880,50.0,30.0,22.6,0.7,67.8
881,32.3,30.0,25.7,0.92,49.8
882,44.4,30.0,27.0,0.89,71.9
883,45.2,30.0,26.1,0.73,70.7
884,46.5,30.0,21.3,0.93,59.4
885,9.4,9.9,9.4,0.71,1.7
886,9.6,8.3,11.0,0.8,1.7
887,8.1,6.3,5.0,0.82,0.5
888,34.4,19.4,14.1,0.79,18.9
889,31.4,27.8,19.2,0.92,33.5
890,36.8,19.7,27.7,0.87,40.0
891,35.3,30.0,13.0,0.82,27.5
892,25.9,26.6,19.0,0.95,26.2
893,26.8,23.5,22.4,0.94,28.2
894,28.7,12.0,8.8,0.73,6.0
895,28.3,22.4,23.1,0.94,29.3
896,14.9,10.9,5.7,0.72,1.9
897,22.2,18.8,19.9,0.72,16.6
898,33.8,13.9,33.2,0.98,31.2
899,6.0,5.6,5.1,0.89,0.3
900,13.4,14.3,7.9,0.82,3.0
901,5.0,4.3,5.5,0.97,0.2
902,20.0,19.9,13.8,1.2,5602.2
903,30.9,17.9,31.7,0.83,35.1
904,29.5,25.7,20.5,0.9,31.2
905,33.3,14.3,12.2,0.97,11.6
906,25.0,16.2,22.3,0.74,18.0
907,16.5,21.1,11.8,0.91,8.2
908,22.6,21.9,23.0,0.71,22.8
909,10.5,5.5,5.6,0.96,0.6
910,19.9,21.2,22.0,0.83,18.6
911,18.3,15.2,11.8,0.74,6.5
912,40.1,24.3,21.7,0.73,42.3
913,21.8,18.1,9.1,0.97,7.2
914,2.5,2.3,2.9,0.74,10.5
915,9.3,6.2,6.1,0.71,0.7
916,42.4,14.8,32.9,0.83,41.2
917,20.4,17.1,11.0,0.97,7.7
918,15.7,9.0,14.0,0.77,4.0
919,32.9,20.6,21.7,0.88,29.4
920,34.0,20.7,11.8,0.9,16.6
921,21.1,12.6,21.8,0.7,11.6
922,8.5,5.4,6.7,0.82,0.6
923,18.1,10.7,13.0,0.78,5.0
924,5.7,4.9,3.6,0.77,0.2
925,18.6,8.6,9.1,0.77,2.9
926,27.8,17.7,12.8,0.99,12.6
927,10.8,7.3,8.2,0.86,1.3
928,26.6,12.9,11.1,0.77,7.6
929,11.4,13.0,10.0,0.83,3.0
930,8.2,3.7,4.6,0.71,0.3
931,35.0,17.8,31.6,0.96,39.2
932,38.7,18.9,30.0,0.85,43.9
933,38.1,30.0,24.8,0.85,56.6
934,15.3,19.1,14.0,0.8,8.2
935,8.8,8.8,3.9,0.87,0.6
936,11.4,5.5,5.2,0.77,0.6
937,25.9,27.8,28.0,0.95,40.3
938,50.0,30.0,38.7,0.86,116.1
939,32.7,30.0,24.4,0.76,47.9
940,36.6,17.5,26.4,0.89,33.9
941,38.2,14.2,26.1,0.79,28.3
942,14.5,9.2,5.3,0.85,1.4
943,34.9,30.0,23.0,0.86,48.2
944,19.4,27.4,11.2,0.79,11.9
945,1.3,1.8,2.9,0.84,4.8
946,7.2,8.1,5.7,0.9,0.7
947,35.4,30.0,27.9,0.99,59.2
948,15.0,9.0,10.3,0.73,2.8
949,44.3,20.3,25.8,0.72,46.4
950,25.5,17.7,6.8,0.96,6.1
951,17.1,15.0,13.2,0.93,6.7
952,38.7,19.1,32.3,0.79,47.9
953,24.5,30.0,20.1,0.84,29.5
954,19.0,12.8,17.1,0.85,8.3
955,24.3,11.2,14.1,0.83,7.7
956,26.4,15.5,29.0,0.73,23.7
957,11.2,10.3,3.2,0.92,0.7
958,13.2,13.5,12.3,0.89,4.4
959,21.3,14.5,17.8,0.9,11.0
960,25.6,26.0,12.6,0.87,16.7
961,31.7,30.0,16.8,0.98,31.9
962,22.1,24.7,27.3,0.87,29.9
963,27.8,13.8,21.8,0.71,16.8
964,31.2,21.4,11.8,0.5,3348.4
965,44.3,13.6,23.8,0.83,28.8
966,17.6,14.7,15.4,0.89,7.9
967,1.2,2.7,1.4,0.91,3.5
968,9.2,4.7,4.8,0.79,0.4
969,24.0,17.5,16.0,0.88,13.5
970,34.2,30.0,24.6,0.9,50.5
971,39.3,30.0,32.7,0.91,77.2
972,30.1,18.1,19.6,1.0,21.4
973,40.9,30.0,14.0,0.86,34.2
974,12.0,5.8,9.4,0.98,1.3
975,25.4,16.0,24.1,0.95,19.5
976,31.3,12.5,19.7,0.94,15.4
977,13.6,14.3,13.7,0.79,5.3
978,42.8,22.7,34.3,0.96,66.6
979,13.0,13.7,9.7,0.99,3.4
980,33.0,17.6,16.9,0.75,19.6
981,7.1,7.2,6.4,0.77,0.7
982,33.8,13.3,19.8,0.9,17.7
983,39.5,30.0,15.9,0.76,37.7
984,48.0,30.0,28.4,0.97,81.6
985,50.0,30.0,26.3,0.82,78.9
986,39.5,23.7,28.0,0.78,52.5
987,14.8,8.8,7.9,0.74,2.1
988,18.2,7.7,9.5,0.71,2.7
989,8.9,9.0,3.4,0.94,0.5
990,12.6,5.6,4.3,0.75,0.6
991,32.7,30.0,17.5,0.72,34.4
992,44.5,21.8,12.9,0.77,25.0
993,31.9,17.4,37.2,0.73,41.3
994,27.3,13.9,8.1,0.74,6.1
995,22.4,14.5,14.2,0.71,9.3
996,17.8,18.1,22.7,0.75,14.6
997,21.9,17.6,17.9,0.74,13.8
998,27.6,20.5,30.7,0.79,34.8
999,22.9,29.6,28.0,0.72,38.0
